行政區,路名,位置,經度,緯度,備註
大安區,思源街,古亭河濱公園(永福橋下),121.527752,25.011369,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,嘉興街,與樂業街交叉口嘉興公園,121.551648,25.021296,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,溫州街,46巷大學公園,121.532633,25.021862,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,安東街,52號大安公園,121.54255,25.042974,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,羅斯福路,3段283巷與新生南路3段86巷口溫州公園,121.531326,25.018915,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,復興南路,至建國南路?公圳公園,121.543276,25.043366,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,復興南路,1段135巷與大安路1段路口?公公園,121.545795,25.042385,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,復興南路,2段78巷42弄龍圖公園,121.541635,25.030503,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,和平東路,2段118巷6弄和平公園,121.5424319,25.0235719,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
大安區,師大路,92巷古莊公園(工具間旁),121.527519,25.022434,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,民權東路,3段榮星公園周邊近建國北路(箱編:2037),121.538313,25.062514,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,龍江路,公車專用道候車亭與南京東路口(箱編:4001),121.540572,25.051952,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,林森北路,40號(箱編:6029),121.524181,25.048144,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,中山北路,1段53巷口(箱編:6028),121.522716,25.049056,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,林森北路,15號公園周邊(箱編:6008),121.525313,25.053368,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,南京東路,1段1號(箱編:6013),121.522835,25.052328,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
中山區,南京東路,1段公車站-雙號(箱編:6010),121.525092,25.052094,"隨手清狗便，違者最高罰鍰新臺幣6,000元"
