SITE_ID,Agency Codes,MINISTRY,AGENCY,STYPE,NAME,VENDOR_ID,HOTSPOT_ID,ZipCode,county,AREA,ADDR,LATITUDE,LONGITUDE,E-MINISTRY,E_AGENCY,E_STYPE,E_NAME,E_CITY,E_AREA,E_ADDR
TPEE000176,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,信義行政中心(信義)-W-信義路五段,TAIFO,,110,臺北市,信義區,110臺北市信義區信義路五段15號旁候車亭,121.5667284,25.0330003,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Xinyi Dist. Admin. Center(Xinyi)-W-Xinyi W-Sec. 5, Xinyi rd.",Taipei City,Xinyi District,"The bus station next to No. 15, Sec. 5, Xinyi Rd., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)"
TPEE000177,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,富台公園-虎林街,TAIFO,,110,臺北市,信義區,110臺北市信義區松信路209號旁候車亭,121.5720433,25.0420591,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Futai Park-Hulin Street,Taipei City,Xinyi District,"The bus station near No. 209, Songxin Rd., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)"
TPEE000178,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,虎林街口-W-松隆路,TAIFO,,110,臺北市,信義區,110臺北市信義區松隆路163號旁候車亭,121.5746688,25.0484922,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Hulin Street-W-Songlong Road,Taipei City,Xinyi District,"The bus station near No. 163, Songlong Rd., Xinyi Dist., Taipei City 110 , Taiwan (R.O.C.)"
TPEE000179,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,中油大樓-W-松仁路,TAIFO,,110,臺北市,信義區,110臺北市信義區松仁路3號旁(松高路本線上)候車亭,121.5693607,25.0391506,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,CPC Building-W-Songren Road,Taipei City,Xinyi District,"The bus station near No. 3, Songren Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)"
TPEE000180,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,南港行政中心-W1-南港路一段,TAIFO,,115,臺北市,南港區,115臺北市南港區南港路一段360號候車亭,121.6066407,25.0544318,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Nangang Dist. Admin. Center-Xinyi W-Sec. 1, Nangang rd.",Taipei City,Nangang District,"The bus station No. 360, Sec. 1, Nangang Rd., Nangang Dist., Taipei City? 115?, Taiwan (R.O.C.)"
TPEE000181,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,育成高中-E-重陽路,TAIFO,,115,臺北市,南港區,115臺北市南港區重陽路431號對面候車亭,121.60939,25.058828,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Yucheng High School E-Chongyang rd.,Taipei City,Nangang District,"The bus station  on the opposite side of No. 431, Chongyang Rd., Nangang District, Taipei City 115, Taiwan,  (R.O.C.)"
TPEE000182,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,胡適國小-N-舊莊街一段,TAIFO,,115,臺北市,南港區,115臺北市南港區舊莊街一段3巷3弄8號對面候車亭(大坑街本線),121.619056,25.043378,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"Hushi Elementary School N-Sec. 1, Jiuzhuang st.",Taipei City,Nangang District,"The bus station on the opposite side of No. 8, Aly. 3, Ln. 3, Sec. 1, Jiuzhuang St., Nangang Dist., Taipei City 115, Taiwan (R.O.C.)(Dakeng St Main Line)"
TPEE000183,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,舊莊國小-E-舊莊街一段,TAIFO,,115,臺北市,南港區,115臺北市南港區舊莊街一段147號斜對面候車亭,121.620239,25.039817,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,"?Jiuzhuang?Elementary School-Sec. 1, Jiuzhuang st.",Taipei City,Nangang District,"The bus station diagonally opposite side of No. 147, Sec. 1, Jiuzhuang St., Nangang Dist., Taipei City? 115?, Taiwan (R.O.C.)"
TPEE000185,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,南港高中-N-向陽路,TAIFO,,115,臺北市,南港區,115臺北市南港區向陽路80號旁候車亭,121.595252,25.05294,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Nan-Gang High School-N-Xiangyang Rd,Taipei City,Nangang District,"The bus station next to No. 80, Xiangyang Rd., Nangang Dist., Taipei City 115 , Taiwan (R.O.C.)"
TPEE000186,379530800H,臺北市政府,臺北市政府公共運輸處,公車站,南港高中-S-向陽路,TAIFO,,115,臺北市,南港區,115臺北市南港區向陽路21號旁候車亭,121.5950176,25.0528947,Taipei City Government,"Public Transportation Office, Taipei City Government",Bus Station,Nangang Senior High School S-Xiangyang rd.,Taipei City,Nangang District,"The bus station near No. 21, Xiangyang Rd., Nangang District, Taipei City 115, Taiwan, (R.O.C.)"
