Longitude(經度),Latitude(緯度),BSM_BUSSTO(公車站牌位置ID),BSM_CHINES(公車站牌名)
121.5335042,25.14805737,785,紗帽橋
121.580951,25.071988,1006,公館山
121.6007562,25.05332424,1685,南港輪胎
121.5586916,24.9913869,2535,興隆山莊
121.5649383,25.08018867,8405,基湖站
121.499133,25.12286,37,大業路(農禪寺)
121.46523,25.12488,35,關渡
121.574638,25.128913,906,福德祠
121.588451,25.001717,2480,象頭埔
121.5659343,25.08053281,8403,基湖路口
121.5799164,24.98345076,56089,三角公園
121.528958,25.10244872,1001351,名山里
121.583,25.0509,1011787,玉成里(東新街)
121.4972069,25.02410306,1776,保德里
121.5131714,25.02538981,1000520,崁頂
121.513566,25.137241,234,幽雅路7號
121.582574,25.070289,1156,麗寶大樓
121.513156,25.114347,154,石牌國小
121.5090285,25.1361503,1001794,熱海大飯店
121.540087,25.082444,1000175,圓山新城一
121.5331159,25.04953442,1000163,長安東路二段
121.5687846,25.14119677,603,下過溪
121.6140634,25.05808666,4111,南港軟體園區( 
121.5305629,25.12471392,4991,天母公園
121.50434,25.13769,7212,新北投
121.51419,25.02801,3907,泉州街
121.58718,25.08132,8633,達人女中(臺灣 
121.58272,25.0508,1001786,玉成里(東新街)
121.49742,25.12909,41,大業路(大興街 
121.5686639,25.07910216,1007,仁寶大樓
121.525829,25.067296,7606,景福宮
121.5908537,25.06786187,8664,湖興
121.53797,25.08372,9443,力行新城
121.612693,25.059093,50106,園區街
121.527565,25.03422,200005000,捷運東門站1
121.508728,25.036841,58,小南門(和平院 
121.517803,25.105059,60,中正高中
121.502172,25.041327,61,西門國小(臺大 
121.515667,25.149284,1001315,嶺頭
121.541228,25.135212,197,陽明教養院華 
121.56104,25.004577,200005050,公訓處
121.5319142,25.07800478,1260,忠烈祠
121.520309,25.052419,200005035,捷運中山站(志 
121.5397622,24.99921103,2503,萬隆
121.57575,25.04838,20353,虎林街口
121.588486,25.001848,56114,象頭埔
121.5665848,24.98845845,1000439,木柵
121.550231,25.048279,134,臺視
121.495844,25.136616,90,文化國小
121.534051,25.038008,75,幸安國小
121.497668,25.127658,73,鳳甲美術館
121.53789,25.15312,78,六窟
121.60492,25.07168,149,民權隧道
121.56893,24.98672,142,永安街
121.512347,25.109537,153,石牌
121.502481,25.118865,155,承德公館路口
121.527588,25.125905,14615,磺溪
121.511508,25.07218398,16215,老師里
121.522781,25.094485,208,士林國中
121.5489745,25.02372254,209,敦化和平路口
121.509046,25.1129,224,承德路七段
121.4715815,25.12997204,210,和信醫院
121.520571,25.11045,240,明德路
121.6228136,25.07731575,1025,康湖隧道口(白 
121.6066935,25.05441139,1651,南港行政中心
121.614007,25.0563948,1678,南港軟體園區 
121.5636227,25.03455494,2029,捷運台北101/世 
121.568236,25.03453525,2121,信義行政中心( 
121.564589,25.033055,6928,捷運台北101/世 
121.5666984,25.03303485,6929,信義行政中心( 
121.5985799,25.05380038,50016,東明里
121.600632,25.05341029,50018,南港輪胎
121.610621,25.054961,50019,南港高工(南港 
121.6143563,25.06868684,986,五分社區
121.593144,25.050403,1697,捷運昆陽站
121.5910499,25.04962372,1719,陸軍後勤指揮 
121.58003,25.04799,2038,五分埔商圈(中 
121.5726155,25.04085411,2055,市立工農
121.575743,25.040967,3927,捷運永春站(忠 
121.6142797,25.0596224,1680,南港軟體園區 
121.623544,25.079071,50446,南寮(忠三街口)
121.619135,25.07112323,1000203,康樂街
121.609776,25.054968,1000253,南港高工(南港 
121.5955099,25.05449038,1000254,土地公廟
121.6030217,25.05365536,1000271,台肥新村
121.607082,25.05437592,1000272,南港行政中心
121.5950161,25.05289467,1000314,南港高中
121.5656156,25.05720185,1579,富泰里
121.5794779,25.0668768,1017,民權大橋
121.5746181,25.08014937,997,捷運港墘站(內 
121.578396,25.078683,1041,西湖圖書館(湖 
121.5821212,25.06808488,1077,時報廣場
121.5842491,25.07858523,1109,捷運文德站(碧 
121.5488053,25.08161487,1212,植福宮
121.5661511,25.06228655,1503,新益里
121.5662727,25.06244465,1504,新益里
121.5679201,25.059668,1507,民生國中
121.5911376,25.03965265,1672,南港花園社區 
121.5787475,25.03621974,2096,松山商職(福德)
121.5787375,25.0363728,2097,松山商職(福德)
121.5873226,25.03916023,2167,福德國小
121.537162,25.068066,4175,臺北漁市
121.549098,25.08366141,4182,自強隧道
121.5863429,25.03897162,6734,福德國小
121.583314,25.037702,6937,奉天宮
121.5615358,25.08438101,8670,文湖國小
121.5383134,25.05815147,10401,合江街口
121.5776642,25.04715678,2093,松山車站(松山)
121.578588,25.078885,3754,西湖圖書館(湖 
121.542529,25.057974,10419,臺北大學(臺北 
121.5694614,25.08211826,50515,恕德家商
121.5676882,25.06017288,1000026,民生國中
121.554879,25.08489093,1000117,捷運劍南路站
121.5698647,25.0530062,1000221,南松山(塔悠)
121.5779187,25.04355884,15115,永吉國小
121.577961,25.041983,15116,捷運永春站(松 
121.5652273,25.08198997,1001,內湖基湖路口
121.572469,25.077397,1013,瑞光港墘路口
121.5562529,25.08326245,1371,敬業三路一
121.522629,25.044844,1997,捷運善導寺站
121.5777163,25.04007794,2058,永春公寓
121.573134,25.077273,1000895,瑞光港墘路口
121.5744284,25.03452653,20270,信義松德路口
121.578826,25.060544,1000213,新湖一路口
121.610969,25.052378,1607,工程營產中心
121.6196862,25.04261402,3884,金德橋頭
121.602599,25.052739,4854,市民大道八段
121.558539,25.081622,1000227,敬業四路
121.563115,25.023282,2170,廣安宮
121.60718,25.07817,1118,黃石公廟
121.523109,25.150358,20299,十八份
121.541404,25.166354,1000685,竹子湖路7號
121.5646111,25.03591983,2067,市政府(松壽)
121.5588464,25.03159637,2080,吳興街口
121.5548064,25.02620143,2159,喬治商職
121.5509151,25.02453192,2251,和平安和路口
121.5446566,25.02494878,2304,國立臺北教育 
121.5724298,25.04108573,3928,市立工農
121.5392993,25.02573185,3942,龍門國中(和平)
121.6063083,25.07431914,3999,康寧社區
121.5899399,25.07961773,8520,成功路三段
121.6166729,25.06817569,8531,東湖國小
121.6072724,25.07536209,8629,康寧醫院
121.560156,25.033677,15120,世貿中心(基隆 
121.591015,25.061041,50433,石潭公園(成功)
121.591281,25.061289,50434,石潭公園(成功)
121.5777113,25.04282579,2056,永吉國小
121.5920088,25.08169977,8537,湖光市場
121.577654,25.041936,2060,捷運永春站(松 
121.5536579,25.04126565,2272,阿波羅大廈
121.5621064,25.04113435,2348,聯合報
121.556359,25.041249,2361,觀光局
121.5562312,25.04151788,3930,觀光局
121.5776905,25.04486327,4091,永春國小
121.514221,25.047565,1000657,臺北車站(忠孝)
121.534693,25.11733029,789,啟智學校
121.532191,25.114211,3951,天母棒球場(忠 
121.5300045,25.07788518,1195,中央電台
121.5165393,25.06310365,1405,大龍街口
121.5355522,25.07800244,9436,忠烈祠
121.56755,25.11603,609,川瀨
121.5470058,25.09823969,659,外雙溪(至善)
121.5764882,25.13133273,673,平等里
121.52224,25.147648,2,十八份福德宮
121.5372,25.1752898,20424,風架口
121.52138,25.14381,1001473,彌陀寺(硫磺谷)
121.492071,25.144595,1000351,北投站
121.559176,25.14404,962,礦寮
121.530202,25.052832,1001356,吉林國小
121.537667,25.044874,1001122,忠泰美術館
121.50817,25.08367,4034,葫蘆國小
121.5469046,25.13089458,776,格致國中
121.5406216,25.05290596,1001380,龍江路口
121.532346,25.1512159,14603,頂北投
121.5469054,25.00061923,1001185,興隆市場後站
121.513879,25.046027,1892,臺北車站(開封)
121.549397,25.100152,9447,故宮博物院
121.4810499,25.10603778,5973,建安新村
121.517135,25.031262,1945,南昌路
121.618342,25.074097,1807,安泰公園
121.6188397,25.04356116,2785,胡適國小
121.5564411,25.02514479,2174,黎順里
121.5539181,25.01935968,20296,樂業街
121.584967,25.003605,143,石壁坑福德宮
121.579656,25.1796752,20271,大油坑
121.5829267,25.00244066,2400,石壁坑
121.525833,25.09049,571,士林分局
121.5267939,25.15112592,1001472,紅柿下
121.5465569,25.15122314,14608,陽明山(紗帽)
121.5783329,24.9890816,2421,指南山莊
