SITE_ID(Taipei-Free熱點代碼),AGENCY(機關名稱),NAME(熱點名稱),VENDOR_ID(業者),AREA(行政區),Address(地址),LATITUDE(緯度),LONGITUDE(經度)
TPEE000342,臺北市政府公共運輸處,敬業三路二-敬業三路,TAIFO,中山區,104臺北市中山區敬業三路123號旁候車亭,121.556198,25.081249
TPEE000343,臺北市政府公共運輸處,明水路口-E-明水路,TAIFO,中山區,104臺北市中山區敬業一路1號斜對面(樂群二路本線)候車亭,121.552532,25.07998
TPEE000345,臺北市政府公共運輸處,敬業三路一-S-敬業三路,TAIFO,中山區,104臺北市中山區敬業三路20號對面候車亭,121.5561834,25.083023
TPEE000346,臺北市政府公共運輸處,圓山大飯店-W1-北安路,TAIFO,中山區,104臺北市中山區北安路47號旁候車亭,121.52796,25.07736
TPEE000347,臺北市政府公共運輸處,圓山大飯店-E1-北安路,TAIFO,中山區,104臺北市中山區北安路47號斜對面候車亭,121.5283066,25.077306
TPEE000348,臺北市政府公共運輸處,河濱公園大佳段-E-濱江街,TAIFO,中山區,104臺北市中山區濱江街230號前方候車亭,121.5408779,25.0722702
TPEE000349,臺北市政府公共運輸處,南福板溪(南昌公園)-E-和平西路一段,TAIFO,中正區,100臺北市中正區和平西路一段36號旁候車亭,121.520431,25.026582
TPEE000350,臺北市政府公共運輸處,南昌家具街-S-南昌路二段,TAIFO,中正區,100臺北市中正區南昌路二段65號對面候車亭,121.5203873,25.0273374
TPEE000351,臺北市政府公共運輸處,螢橋國小-E-汀州路二段,TAIFO,中正區,100臺北市中正區汀州路二段21號對面候車亭,121.5147355,25.0260442
TPEE000352,臺北市政府公共運輸處,東南客運停車場-W-新湖二路,TAIFO,內湖區,114臺北市內湖區新湖二路與行愛路口東側北方候車亭,121.5809518,25.0636096
TPEE000353,臺北市政府公共運輸處,捷運古亭站(和平)-W-和平東路一段,TAIFO,大安區,106臺北市大安區和平東路一段29號候車亭,121.5232174,25.0271727
TPEE000354,臺北市政府公共運輸處,國盛國宅-N-南海路,TAIFO,中正區,100臺北市中正區南海路110號旁候車亭,121.508018,25.027818
TPEE000355,臺北市政府公共運輸處,博物館(襄陽)-E-襄陽路,TAIFO,中正區,100臺北市中正區襄陽路25號斜對面候車亭,121.5146487,25.0433543
TPEE000356,臺北市政府公共運輸處,中正二分局-S-重慶南路二段,TAIFO,中正區,100臺北市中正區重慶南路二段21號斜對面候車停,121.514013,25.0323946
TPEE000357,臺北市政府公共運輸處,古亭國中-E-中華路二段,TAIFO,中正區,100臺北市中正區中華路二段602之1號旁候車亭,121.5098425,25.0246877
TPEE000358,臺北市政府公共運輸處,捷運中正紀念堂(羅斯福)-S-羅斯福路一段,TAIFO,中正區,100臺北市中正區羅斯福路一段48號旁候車亭,121.5193296,25.0310209
TPEE000359,臺北市政府公共運輸處,國興路口-N-中華路二段,TAIFO,中正區,100臺北市中正區中華路二段413號前候車亭,121.5083385,25.0256735
TPEE000360,臺北市政府公共運輸處,中正二分局-N-重慶南路二段,TAIFO,中正區,100臺北市中正區重慶南路二段13號旁候車亭,121.5140395,25.0326407
TPEE000361,臺北市政府公共運輸處,客家文化主題公園(師大)-E-師大路,TAIFO,中正區,100臺北市中正區師大路192號對面候車亭,121.5244106,25.0206392
TPEE000362,臺北市政府公共運輸處,松平路口-S-松仁路,TAIFO,信義區,110臺北市信義區松仁路151巷對面候車亭,121.568199,25.030965
TPEE000363,臺北市政府公共運輸處,小南門-N-中華路一段,TAIFO,中正區,100臺北市中正區中華路一段89號旁候車亭,121.5074389,25.0382893
TPEE000364,臺北市政府公共運輸處,治磐新村-W1-內湖路一段,TAIFO,內湖區,114臺北市內湖區內湖路一段136號對面候車亭,121.5641398,25.0830722
TPEE000365,臺北市政府公共運輸處,捷運中正紀念堂(愛國)-愛國東路,TAIFO,中正區,100臺北市中正區愛國東路76號對面候車亭,121.519824,25.0337161
TPEE000367,臺北市政府公共運輸處,捷運中正紀念堂站(中山)-S-中山南路,TAIFO,中正區,100臺北市中正區中山南路21號(自由廣場牌樓)斜對面候車亭,121.5167294,25.0364628
TPEE000368,臺北市政府公共運輸處,國盛國宅-S-南海路,TAIFO,中正區,100臺北市中正區南海路103號旁候車亭,121.507736,25.027822
TPEE000369,臺北市政府公共運輸處,社區發展協會-中社路一段,TAIFO,士林區,111臺北市士林區中社路一段32號(36巷雙號巷口旁)候車亭,121.5598905,25.1097662
TPEE000370,臺北市政府公共運輸處,仁寶大樓-N1-瑞光路,TAIFO,內湖區,114臺北市內湖區瑞光路502號對面候車亭,121.5684226,25.079417
TPEE000371,臺北市政府公共運輸處,基湖站-S1-基湖路,TAIFO,內湖區,114臺北市內湖區基湖路37號對面候車亭,121.5646031,25.0796848
TPEE000372,臺北市政府公共運輸處,文湖國小-E1-內湖路一段,TAIFO,內湖區,114臺北市內湖區內湖路一段103號對面候車亭,121.5614737,25.0841933
TPEE000373,臺北市政府公共運輸處,明湖國小-W1-康寧路三段,TAIFO,內湖區,114臺北市內湖區康寧路三段77號旁候車亭,121.6092138,25.071913
TPEE000374,臺北市政府公共運輸處,黃石公廟-N-成功路五段,TAIFO,內湖區,114臺北市內湖區成功路五段37號對面候車亭,121.6071946,25.0781197
TPEE000375,臺北市政府公共運輸處,瑞陽三號公園-W-文德路,TAIFO,內湖區,114臺北市內湖區文德路66巷口旁候車亭,121.582233,25.074998
TPEE000376,臺北市政府公共運輸處,潭美公園-E-南京東路六段,TAIFO,內湖區,114臺北市內湖區南京東路六段366號附近候車亭,121.5857024,25.0592245
